,Sweep,Mag,E_N,Beta,Temp,Mag_mean,Mag_max,Mag_min,E_mean,E_max,E_min
190,3,-0.45125,0.7275,0.25,4,-0.4424375,-0.38125,-0.55375,0.76485,-0.39,0.915
191,4,-0.35,0.7125,0.25,4,-0.3357125,-0.25125,-0.44875,0.676075,-0.2975,0.835
192,5,-0.33625,0.68,0.25,4,-0.2560125,-0.15625,-0.36625,0.62725,-0.21375,0.74
193,6,-0.28375,0.685,0.25,4,-0.1948125,-0.085,-0.28375,0.593425,-0.175,0.71
194,7,-0.22375,0.7075,0.25,4,-0.1469,-0.0225,-0.23375,0.57455,-0.2,0.7075
195,8,-0.17625,0.6075,0.25,4,-0.1108125,0.00625,-0.2225,0.5697,-0.15125,0.6875
196,9,-0.14875,0.65,0.25,4,-0.0904625,0.045,-0.1925,0.562525,-0.14625,0.67
197,10,-0.11125,0.565,0.25,4,-0.0685375,0.07625,-0.17,0.5599,-0.1125,0.69
198,0,-1,2,0.25,4,-1,-1,-1,2,-1,2
199,1,-0.75125,1.2475,0.25,4,-0.7592,-0.71,-0.8075,1.278875,-0.775,1.3975
200,2,-0.55125,0.96,0.25,4,-0.57735,-0.50375,-0.645,0.937,-0.525,1.0775
201,3,-0.4425,0.755,0.25,4,-0.4424375,-0.38125,-0.55375,0.76485,-0.39,0.915
202,4,-0.325,0.665,0.25,4,-0.3357125,-0.25125,-0.44875,0.676075,-0.2975,0.835
203,5,-0.23125,0.635,0.25,4,-0.2560125,-0.15625,-0.36625,0.62725,-0.21375,0.74
204,6,-0.18,0.605,0.25,4,-0.1948125,-0.085,-0.28375,0.593425,-0.175,0.71
205,7,-0.165,0.62,0.25,4,-0.1469,-0.0225,-0.23375,0.57455,-0.2,0.7075
206,8,-0.1575,0.6075,0.25,4,-0.1108125,0.00625,-0.2225,0.5697,-0.15125,0.6875
207,9,-0.17375,0.5675,0.25,4,-0.0904625,0.045,-0.1925,0.562525,-0.14625,0.67
208,10,-0.17,0.5725,0.25,4,-0.0685375,0.07625,-0.17,0.5599,-0.1125,0.69
209,0,-1,2,0.25,4,-1,-1,-1,2,-1,2
210,1,-0.7525,1.2875,0.25,4,-0.7592,-0.71,-0.8075,1.278875,-0.775,1.3975
211,2,-0.565,0.965,0.25,4,-0.57735,-0.50375,-0.645,0.937,-0.525,1.0775
212,3,-0.405,0.7225,0.25,4,-0.4424375,-0.38125,-0.55375,0.76485,-0.39,0.915
213,4,-0.3475,0.7175,0.25,4,-0.3357125,-0.25125,-0.44875,0.676075,-0.2975,0.835
214,5,-0.2525,0.6775,0.25,4,-0.2560125,-0.15625,-0.36625,0.62725,-0.21375,0.74
215,6,-0.20125,0.615,0.25,4,-0.1948125,-0.085,-0.28375,0.593425,-0.175,0.71
216,7,-0.17,0.5375,0.25,4,-0.1469,-0.0225,-0.23375,0.57455,-0.2,0.7075
217,8,-0.08125,0.54,0.25,4,-0.1108125,0.00625,-0.2225,0.5697,-0.15125,0.6875
218,9,-0.04125,0.495,0.25,4,-0.0904625,0.045,-0.1925,0.562525,-0.14625,0.67
219,10,-0.03875,0.5075,0.25,4,-0.0685375,0.07625,-0.17,0.5599,-0.1125,0.69
