Temp,Mag_mean,Mag_sd,abs_Mag_mean,abs_Mag_sd,Mag_exact,E_N_mean,E_N_sd
1.10509,-0.997868,0.000238187,0.997868,0.000238187,0.99839,-3.98343,0.00181221
1.10963,-0.998137,0.000216853,0.998137,0.000216853,0.998339,-3.98569,0.00162106
1.11417,-0.998431,0.000181373,0.998431,0.000181373,0.998286,-3.98755,0.00143057
1.11871,-0.997819,0.000328102,0.997819,0.000328102,0.998232,-3.98461,0.00204768
1.12325,-0.998186,0.000219496,0.998186,0.000219496,0.998177,-3.98578,0.0017114
1.12779,-0.9975,0.000237429,0.9975,0.000237429,0.998121,-3.98069,0.00181508
1.13232,-0.997819,0.000229137,0.997819,0.000229137,0.998063,-3.98314,0.00175991
1.13686,-0.998064,0.000235651,0.998064,0.000235651,0.998004,-3.9848,0.00183624
1.1414,-0.998088,0.000216797,0.998088,0.000216797,0.997943,-3.985,0.00171499
1.14594,-0.997525,0.000241244,0.997525,0.000241244,0.997881,-3.98078,0.00182774
1.15048,-0.997672,0.000247585,0.997672,0.000247585,0.997817,-3.98167,0.00193354
1.15502,-0.99777,0.000233037,0.99777,0.000233037,0.997753,-3.98265,0.00178421
1.15955,-0.998358,0.000190105,0.998358,0.000190105,0.997686,-3.98696,0.00148903
1.16409,-0.997402,0.000368561,0.997402,0.000368561,0.997618,-3.98118,0.00245584
1.16863,-0.997721,0.000296437,0.997721,0.000296437,0.997549,-3.98284,0.00211556
1.17317,-0.997745,0.000252487,0.997745,0.000252487,0.997478,-3.98284,0.00181094
1.17771,-0.997328,0.000221458,0.997328,0.000221458,0.997406,-3.97951,0.00169922
1.18225,-0.997279,0.000302574,0.997279,0.000302574,0.997331,-3.97892,0.00227654
1.18678,-0.997377,0.000253057,0.997377,0.000253057,0.997256,-3.9802,0.00187847
1.19132,-0.997377,0.00030166,0.997377,0.00030166,0.997178,-3.97941,0.00232061
1.19586,-0.996863,0.000243475,0.996863,0.000243475,0.997099,-3.97598,0.00182585
1.2004,-0.996961,0.000269474,0.996961,0.000269474,0.997019,-3.97637,0.00200038
1.20494,-0.996642,0.000323678,0.996642,0.000323678,0.996936,-3.97471,0.00240266
1.20948,-0.996667,0.000316357,0.996667,0.000316357,0.996852,-3.97451,0.0023358
1.21401,-0.997034,0.000346482,0.997034,0.000346482,0.996766,-3.97716,0.0025176
1.21855,-0.997034,0.000348246,0.997034,0.000348246,0.996679,-3.97784,0.00255625
1.22309,-0.99652,0.000323344,0.99652,0.000323344,0.996589,-3.97314,0.00236793
1.22763,-0.996789,0.000327002,0.996789,0.000327002,0.996498,-3.9752,0.00258184
1.23217,-0.99625,0.000259619,0.99625,0.000259619,0.996405,-3.97088,0.00194889
1.23671,-0.996127,0.000282788,0.996127,0.000282788,0.99631,-3.97029,0.002107
1.24124,-0.995196,0.000424975,0.995196,0.000424975,0.996213,-3.96461,0.00293339
1.24578,-0.996078,0.000286587,0.996078,0.000286587,0.996114,-3.96922,0.00220237
1.25032,-0.995392,0.000389019,0.995392,0.000389019,0.996013,-3.96559,0.00271758
1.25486,-0.996152,0.000378405,0.996152,0.000378405,0.99591,-3.9702,0.00288662
1.2594,-0.996275,0.000336669,0.996275,0.000336669,0.995805,-3.97088,0.00262232
1.26394,-0.996863,0.000227875,0.996863,0.000227875,0.995698,-3.97549,0.00171644
1.26847,-0.994706,0.000356295,0.994706,0.000356295,0.995589,-3.9602,0.00248904
1.27301,-0.996422,0.000346586,0.996422,0.000346586,0.995478,-3.97235,0.00255279
1.27755,-0.995588,0.000315749,0.995588,0.000315749,0.995364,-3.96696,0.00239312
1.28209,-0.99402,0.000472677,0.99402,0.000472677,0.995249,-3.95471,0.00341683
1.28663,-0.994828,0.000350104,0.994828,0.000350104,0.995131,-3.9602,0.00253586
1.29117,-0.995098,0.000387999,0.995098,0.000387999,0.995011,-3.96216,0.00290792
1.2957,-0.99549,0.000402319,0.99549,0.000402319,0.994889,-3.96637,0.00286657
1.30024,-0.995294,0.000270231,0.995294,0.000270231,0.994765,-3.96422,0.00192696
1.30478,-0.995588,0.00037271,0.995588,0.00037271,0.994638,-3.96618,0.00278507
1.30932,-0.995515,0.000355586,0.995515,0.000355586,0.994509,-3.96559,0.0025958
