T/T_C,m,e,c,chi,rel c,rel chi
9.70E-02,1,-2,9.07E-08,4.54E-08,3.04705E-08,4.54E-11
9.90E-02,1,-2,1.37E-07,6.87E-08,4.60249E-08,6.87E-11
1.01E-01,1,-2,1.98E-07,9.90E-08,6.65177E-08,9.9E-11
1.03E-01,1,-2,2.87E-07,1.44E-07,9.64171E-08,1.44E-10
1.05E-01,1,-2,4.08E-07,2.04E-07,1.37067E-07,2.04E-10
1.07E-01,1,-2,5.72E-07,2.86E-07,1.92162E-07,2.86E-10
1.09E-01,1,-2,7.89E-07,3.94E-07,2.65063E-07,3.94E-10
1.11E-01,1,-2,1.08E-06,5.39E-07,3.62824E-07,5.39E-10
1.13E-01,1,-2,1.46E-06,7.29E-07,4.90484E-07,7.29E-10
1.15E-01,1,-2,1.95E-06,9.74E-07,6.55099E-07,9.74E-10
1.17E-01,1,-2,2.58E-06,1.29E-06,8.66746E-07,1.29E-09
1.19E-01,1,-2,3.38E-06,1.69E-06,1.1355E-06,1.69E-09
1.21E-01,1,-2,4.38E-06,2.19E-06,1.47145E-06,2.19E-09
1.23E-01,1,-2,5.64E-06,2.82E-06,1.89475E-06,2.82E-09
1.25E-01,1,-2,7.20E-06,3.60E-06,2.41883E-06,3.6E-09
1.27E-01,1,-2,9.12E-06,4.56E-06,3.06385E-06,4.56E-09
1.29E-01,1,-2,1.15E-05,5.73E-06,3.8634E-06,5.73E-09
1.31E-01,1,-2,1.43E-05,7.15E-06,4.80406E-06,7.15E-09
1.33E-01,0.999999,-2,1.77E-05,8.86E-06,5.94628E-06,8.86E-09
1.35E-01,0.999999,-2,2.18E-05,1.09E-05,7.32367E-06,1.09E-08
1.37E-01,0.999999,-2,2.67E-05,1.33E-05,8.96982E-06,1.33E-08
1.39E-01,0.999999,-2,3.25E-05,1.62E-05,1.09183E-05,1.62E-08
1.41E-01,0.999999,-1.99999,3.92E-05,1.96E-05,1.31692E-05,1.96E-08
1.43E-01,0.999998,-1.99999,4.72E-05,2.36E-05,1.58568E-05,2.36E-08
1.45E-01,0.999998,-1.99999,5.64E-05,2.82E-05,1.89475E-05,2.82E-08
1.47E-01,0.999998,-1.99999,6.71E-05,3.36E-05,2.25421E-05,3.36E-08
1.49E-01,0.999997,-1.99999,7.95E-05,3.98E-05,2.67079E-05,3.98E-08
1.51E-01,0.999996,-1.99999,9.37E-05,4.69E-05,3.14783E-05,4.69E-08
1.53E-01,0.999996,-1.99998,1.10E-04,5.50E-05,3.69543E-05,0.000000055
1.55E-01,0.999995,-1.99998,1.29E-04,6.43E-05,4.33373E-05,6.43E-08
1.57E-01,0.999994,-1.99998,1.50E-04,7.48E-05,5.03922E-05,7.48E-08
1.59E-01,0.999993,-1.99997,1.73E-04,8.67E-05,5.8119E-05,8.67E-08
1.61E-01,0.999992,-1.99997,2.00E-04,1.00E-04,6.71896E-05,0.0000001
1.63E-01,0.999991,-1.99996,2.30E-04,1.15E-04,7.72681E-05,0.000000115
1.65E-01,0.999989,-1.99996,2.64E-04,1.32E-04,8.86903E-05,0.000000132
1.67E-01,0.999987,-1.99995,3.02E-04,1.51E-04,0.000101456,0.000000151
1.69E-01,0.999985,-1.99994,3.43E-04,1.72E-04,0.00011523,0.000000172
1.71E-01,0.999983,-1.99993,3.90E-04,1.95E-04,0.00013102,0.000000195
1.73E-01,0.999981,-1.99992,4.41E-04,2.21E-04,0.000148153,0.000000221
1.75E-01,0.999978,-1.99991,4.98E-04,2.49E-04,0.000167302,0.000000249
1.77E-01,0.999975,-1.9999,5.60E-04,2.80E-04,0.000188131,0.00000028
1.79E-01,0.999972,-1.99989,6.28E-04,3.14E-04,0.000210975,0.000000314
1.81E-01,0.999968,-1.99987,7.03E-04,3.51E-04,0.000236172,0.000000351
1.83E-01,0.999964,-1.99986,7.84E-04,3.92E-04,0.000263383,0.000000392
1.85E-01,0.99996,-1.99984,8.73E-04,4.37E-04,0.000293283,0.000000437
1.87E-01,0.999955,-1.99982,9.70E-04,4.85E-04,0.00032587,0.000000485
1.89E-01,0.999949,-1.9998,1.07E-03,5.37E-04,0.000359464,0.000000537
1.91E-01,0.999943,-1.99977,1.19E-03,5.94E-04,0.000399778,0.000000594
1.93E-01,0.999937,-1.99975,1.31E-03,6.56E-04,0.000440092,0.000000656
1.95E-01,0.99993,-1.99972,1.44E-03,7.22E-04,0.000483765,0.000000722
1.97E-01,0.999922,-1.99969,1.59E-03,7.93E-04,0.000534158,0.000000793
