Sweep,Mag,E_N,Beta,Temp
9,-0.08,0.52,0.25,4
10,-0.035,0.5675,0.25,4
0,-1,2,0.25,4
1,-0.71,1.1475,0.25,4
2,-0.50375,0.835,0.25,4
3,-0.38125,0.7325,0.25,4
4,-0.285,0.635,0.25,4
5,-0.26125,0.5575,0.25,4
6,-0.24375,0.6325,0.25,4
7,-0.13625,0.5275,0.25,4
8,-0.10375,0.5575,0.25,4
9,-0.12375,0.525,0.25,4
10,-0.07375,0.545,0.25,4
0,-1,2,0.25,4
1,-0.77625,1.31,0.25,4
2,-0.59125,0.9675,0.25,4
3,-0.40125,0.765,0.25,4
4,-0.28625,0.6575,0.25,4
5,-0.165,0.56,0.25,4
6,-0.09,0.565,0.25,4
7,-0.045,0.565,0.25,4
8,0.00625,0.5775,0.25,4
9,0.00625,0.54,0.25,4
10,0.02875,0.575,0.25,4
0,-1,2,0.25,4
1,-0.76375,1.2675,0.25,4
2,-0.55375,0.9225,0.25,4
3,-0.44875,0.74,0.25,4
4,-0.3225,0.6275,0.25,4
5,-0.2825,0.69,0.25,4
6,-0.24375,0.5925,0.25,4
7,-0.20375,0.56,0.25,4
8,-0.19,0.5575,0.25,4
9,-0.1725,0.65,0.25,4
10,-0.1325,0.63,0.25,4
0,-1,2,0.25,4
1,-0.76,1.2925,0.25,4
2,-0.60625,0.995,0.25,4
3,-0.4325,0.74,0.25,4
4,-0.2825,0.6175,0.25,4
5,-0.2025,0.6225,0.25,4
6,-0.19375,0.67,0.25,4
7,-0.1625,0.6025,0.25,4
8,-0.11875,0.5625,0.25,4
9,-0.11875,0.6,0.25,4
10,-0.0775,0.5375,0.25,4
0,-1,2,0.25,4
1,-0.755,1.2525,0.25,4
2,-0.5075,0.84,0.25,4
3,-0.40375,0.7675,0.25,4
4,-0.31,0.6675,0.25,4
5,-0.2275,0.5675,0.25,4
6,-0.19875,0.535,0.25,4
7,-0.165,0.6425,0.25,4
8,-0.1275,0.6075,0.25,4
9,-0.12125,0.55,0.25,4
10,-0.11375,0.58,0.25,4
0,-1,2,0.25,4
1,-0.7875,1.345,0.25,4
2,-0.62125,1.0175,0.25,4
3,-0.4575,0.79,0.25,4
4,-0.36375,0.675,0.25,4
5,-0.2825,0.65,0.25,4
6,-0.2325,0.6325,0.25,4
7,-0.19125,0.6575,0.25,4
8,-0.1475,0.55,0.25,4
9,-0.105,0.535,0.25,4
10,-0.10875,0.5225,0.25,4
0,-1,2,0.25,4
1,-0.785,1.335,0.25,4
2,-0.58,0.955,0.25,4
3,-0.47125,0.7725,0.25,4
4,-0.355,0.64,0.25,4
5,-0.24375,0.4925,0.25,4
6,-0.17125,0.5525,0.25,4
7,-0.13625,0.4975,0.25,4
8,-0.10375,0.48,0.25,4
9,-0.13875,0.545,0.25,4
10,-0.11125,0.5175,0.25,4
0,-1,2,0.25,4
1,-0.775,1.3275,0.25,4
2,-0.5925,0.9575,0.25,4
3,-0.46875,0.8375,0.25,4
4,-0.3875,0.665,0.25,4
5,-0.2875,0.6125,0.25,4
6,-0.19375,0.5275,0.25,4
7,-0.11625,0.565,0.25,4
8,-0.08625,0.565,0.25,4
9,-0.11125,0.5825,0.25,4
10,-0.08875,0.5825,0.25,4
0,-1,2,0.25,4
1,-0.72,1.18,0.25,4
2,-0.53125,0.885,0.25,4
3,-0.41375,0.755,0.25,4
4,-0.31625,0.7425,0.25,4
5,-0.2425,0.7,0.25,4
