Temp,T_Tc,Mag_sim,Mag_exact,Mag_mf
1.2004,0.529,0.996961,0.997019,0.945473
1.20494,0.531,0.996642,0.996936,0.944572
1.20948,0.533,0.996667,0.996852,0.943661
1.21401,0.535,0.997034,0.996766,0.942741
1.21855,0.537,0.997034,0.996679,0.941811
1.22309,0.539,0.99652,0.996589,0.940871
1.22763,0.541,0.996789,0.996498,0.939922
1.23217,0.543,0.99625,0.996405,0.938963
1.23671,0.545,0.996127,0.99631,0.937994
1.24124,0.547,0.995196,0.996213,0.937016
1.24578,0.549,0.996078,0.996114,0.936027
1.25032,0.551,0.995392,0.996013,0.935029
1.25486,0.553,0.996152,0.99591,0.934021
1.2594,0.555,0.996275,0.995805,0.933002
1.26394,0.557,0.996863,0.995698,0.931974
1.26847,0.559,0.994706,0.995589,0.930935
1.27301,0.561,0.996422,0.995478,0.929887
1.27755,0.563,0.995588,0.995364,0.928828
1.28209,0.565,0.99402,0.995249,0.927759
1.28663,0.567,0.994828,0.995131,0.926679
1.29117,0.569,0.995098,0.995011,0.925589
1.2957,0.571,0.99549,0.994889,0.924489
1.30024,0.573,0.995294,0.994765,0.923379
1.30478,0.575,0.995588,0.994638,0.922257
1.30932,0.577,0.995515,0.994509,0.921126
1.31386,0.579,0.994583,0.994377,0.919983
1.3184,0.581,0.99424,0.994244,0.91883
1.32294,0.583,0.99424,0.994107,0.917666
1.32747,0.585,0.994436,0.993968,0.916492
1.33201,0.587,0.992868,0.993827,0.915306
1.33655,0.589,0.991887,0.993683,0.91411
1.34109,0.591,0.99299,0.993537,0.912902
1.34563,0.593,0.993824,0.993388,0.911684
1.35017,0.595,0.993235,0.993236,0.910455
1.3547,0.597,0.992892,0.993082,0.909214
1.35924,0.599,0.991275,0.992925,0.907962
1.36378,0.601,0.993333,0.992765,0.906699
1.36832,0.603,0.993824,0.992602,0.905425
1.37286,0.605,0.992377,0.992437,0.904139
1.3774,0.607,0.99174,0.992269,0.902842
1.38193,0.609,0.992181,0.992097,0.901534
1.38647,0.611,0.99174,0.991923,0.900214
1.39101,0.613,0.992574,0.991746,0.898882
1.39555,0.615,0.990613,0.991566,0.897538
1.40009,0.617,0.990221,0.991383,0.896183
1.40463,0.619,0.990147,0.991197,0.894816
1.40916,0.621,0.991422,0.991008,0.893437
1.4137,0.623,0.989485,0.990816,0.892046
1.41824,0.625,0.988922,0.99062,0.890643
1.42278,0.627,0.989706,0.990421,0.889229
1.42732,0.629,0.99125,0.990219,0.887801
1.43186,0.631,0.988529,0.990014,0.886362
1.43639,0.633,0.989706,0.989805,0.884911
1.44093,0.635,0.987083,0.989593,0.883447
1.44547,0.637,0.987181,0.989377,0.88197
1.45001,0.639,0.991029,0.989158,0.880481
1.45455,0.641,0.990907,0.988935,0.87898
1.45909,0.643,0.990882,0.988709,0.877466
1.46362,0.645,0.988824,0.988479,0.875939
1.46816,0.647,0.988211,0.988245,0.874399
1.4727,0.649,0.984755,0.988008,0.872846
1.47724,0.651,0.989044,0.987767,0.871281
1.48178,0.653,0.987475,0.987522,0.869702
1.48632,0.655,0.986544,0.987273,0.868111
1.49085,0.657,0.987745,0.987021,0.866506
1.49539,0.659,0.987402,0.986764,0.864888
1.49993,0.661,0.989338,0.986504,0.863256
1.50447,0.663,0.985049,0.986239,0.861611
1.50901,0.665,0.984779,0.98597,0.859952
1.51355,0.667,0.985882,0.985697,0.85828
1.51808,0.669,0.986789,0.98542,0.856594
1.52262,0.671,0.984485,0.985138,0.854894
1.52716,0.673,0.987059,0.984853,0.85318
1.5317,0.675,0.984069,0.984562,0.851453
1.53624,0.677,0.985809,0.984268,0.849711
1.54078,0.679,0.98473,0.983968,0.847955
1.54532,0.681,0.983971,0.983665,0.846185
1.54985,0.683,0.983505,0.983356,0.8444
1.55439,0.685,0.983015,0.983043,0.842601
1.55893,0.687,0.983897,0.982725,0.840787
1.56347,0.689,0.980882,0.982403,0.838959
1.56801,0.691,0.98223,0.982075,0.837115
1.57255,0.693,0.982377,0.981743,0.835257
1.57708,0.695,0.981373,0.981405,0.833384
1.58162,0.697,0.980711,0.981063,0.831496
1.58616,0.699,0.9825,0.980715,0.829592
1.5907,0.701,0.978701,0.980362,0.827673
1.59524,0.703,0.980098,0.980004,0.825739
1.59978,0.705,0.981422,0.97964,0.823789
1.60431,0.707,0.979069,0.979271,0.821824
1.60885,0.709,0.980858,0.978897,0.819842
1.61339,0.711,0.97875,0.978517,0.817845
1.61793,0.713,0.974681,0.978131,0.815831
1.62247,0.715,0.978309,0.977739,0.813802
1.62701,0.717,0.979314,0.977342,0.811756
1.63154,0.719,0.975025,0.976939,0.809693
1.63608,0.721,0.979804,0.976529,0.807615
1.64062,0.723,0.977034,0.976114,0.805519
1.64516,0.725,0.975123,0.975693,0.803406
1.6497,0.727,0.974681,0.975265,0.801277
1.65424,0.729,0.976618,0.974831,0.79913
1.65877,0.731,0.975123,0.97439,0.796966
1.66331,0.733,0.975441,0.973943,0.794785
1.66785,0.735,0.974314,0.97349,0.792586
1.67239,0.737,0.974265,0.973029,0.790369
1.67693,0.739,0.964216,0.972562,0.788134
1.68147,0.741,0.974853,0.972088,0.785881
1.686,0.743,0.972206,0.971607,0.783611
1.69054,0.745,0.97451,0.971119,0.781321
1.69508,0.747,0.972598,0.970623,0.779013
1.69962,0.749,0.971593,0.97012,0.776687
1.70416,0.751,0.971789,0.96961,0.774341
1.7087,0.753,0.971103,0.969092,0.771977
1.71323,0.755,0.966176,0.968567,0.769593
1.71777,0.757,0.966618,0.968033,0.767189
1.72231,0.759,0.965564,0.967492,0.764766
1.72685,0.761,0.967672,0.966942,0.762324
1.73139,0.763,0.969534,0.966385,0.759861
1.73593,0.765,0.967745,0.965819,0.757378
1.74047,0.767,0.967549,0.965245,0.754874
1.745,0.769,0.965637,0.964662,0.75235
1.74954,0.771,0.9625,0.96407,0.749805
1.75408,0.773,0.967598,0.963469,0.747239
1.75862,0.775,0.967475,0.96286,0.744652
1.76316,0.777,0.962696,0.962241,0.742043
1.7677,0.779,0.958995,0.961613,0.739412
1.77223,0.781,0.964314,0.960975,0.736759
1.77677,0.783,0.962304,0.960328,0.734084
1.78131,0.785,0.964681,0.959671,0.731387
1.78585,0.787,0.962623,0.959003,0.728667
1.79039,0.789,0.961078,0.958326,0.725923
1.79493,0.791,0.952794,0.957638,0.723157
1.79946,0.793,0.955343,0.95694,0.720367
1.804,0.795,0.955,0.956231,0.717553
1.80854,0.797,0.958676,0.955511,0.714715
1.81308,0.799,0.954804,0.95478,0.711852
1.81762,0.801,0.948382,0.954038,0.708965
1.82216,0.803,0.956103,0.953284,0.706053
1.82669,0.805,0.951471,0.952518,0.703115
1.83123,0.807,0.956716,0.95174,0.700152
1.83577,0.809,0.945466,0.95095,0.697163
1.84031,0.811,0.956299,0.950148,0.694147
1.84485,0.813,0.950784,0.949332,0.691104
1.84939,0.815,0.943627,0.948504,0.688035
1.85392,0.817,0.95277,0.947663,0.684938
1.85846,0.819,0.945294,0.946808,0.681813
1.863,0.821,0.944338,0.945939,0.678661
1.86754,0.823,0.93701,0.945056,0.675479
1.87208,0.825,0.937059,0.944159,0.672269
1.87662,0.827,0.948039,0.943247,0.669029
1.88115,0.829,0.946422,0.94232,0.665759
1.88569,0.831,0.945809,0.941378,0.662459
1.89023,0.833,0.941471,0.94042,0.659128
1.89477,0.835,0.938775,0.939446,0.655766
1.89931,0.837,0.944044,0.938456,0.652372
1.90385,0.839,0.932721,0.937449,0.648946
1.90838,0.841,0.932525,0.936425,0.645487
1.91292,0.843,0.941495,0.935383,0.641995
1.91746,0.845,0.943725,0.934324,0.638468
1.922,0.847,0.939657,0.933246,0.634908
1.92654,0.849,0.942721,0.932149,0.631313
1.93108,0.851,0.93777,0.931033,0.627681
1.93562,0.853,0.934926,0.929897,0.624014
1.94015,0.855,0.933603,0.928741,0.62031
1.94469,0.857,0.922034,0.927564,0.616568
1.94923,0.859,0.922549,0.926366,0.612788
1.95377,0.861,0.926887,0.925145,0.608969
1.95831,0.863,0.933897,0.923903,0.60511
1.96285,0.865,0.928873,0.922637,0.601211
1.96738,0.867,0.928039,0.921348,0.597271
1.97192,0.869,0.918186,0.920034,0.593288
1.97646,0.871,0.923137,0.918695,0.589263
1.981,0.873,0.910074,0.91733,0.585193
1.98554,0.875,0.910515,0.915939,0.581079
1.99008,0.877,0.913603,0.914521,0.576919
1.99461,0.879,0.911936,0.913074,0.572713
1.99915,0.881,0.924559,0.911598,0.568458
2.00369,0.883,0.915931,0.910093,0.564155
2.00823,0.885,0.905294,0.908556,0.559802
2.01277,0.887,0.90527,0.906988,0.555397
2.01731,0.889,0.919877,0.905386,0.55094
2.02184,0.891,0.90125,0.903751,0.54643
2.02638,0.893,0.896471,0.90208,0.541864
2.03092,0.895,0.905392,0.900373,0.537242
2.03546,0.897,0.9075,0.898628,0.532562
2.04,0.899,0.911225,0.896845,0.527822
2.04454,0.901,0.904853,0.89502,0.523021
2.04907,0.903,0.84125,0.893154,0.518158
2.05361,0.905,0.903603,0.891244,0.51323
2.05815,0.907,0.912353,0.889288,0.508235
2.06269,0.909,0.900931,0.887285,0.503172
2.06723,0.911,0.889216,0.885233,0.498039
2.07177,0.913,0.882574,0.88313,0.492832
2.0763,0.915,0.89777,0.880974,0.487551
2.08084,0.917,0.88201,0.878761,0.482192
2.08538,0.919,0.883701,0.876491,0.476753
2.08992,0.921,0.887745,0.874159,0.471231
2.09446,0.923,0.882672,0.871764,0.465623
2.099,0.925,0.898431,0.869302,0.459925
2.10353,0.927,0.858088,0.866769,0.454136
2.10807,0.929,0.890784,0.864162,0.44825
2.11261,0.931,0.866348,0.861478,0.442264
2.11715,0.933,0.868824,0.858711,0.436175
2.12169,0.935,0.848922,0.855858,0.429977
2.12623,0.937,0.876985,0.852913,0.423666
2.13077,0.939,0.878725,0.84987,0.417236
2.1353,0.941,0.815,0.846725,0.410683
2.13984,0.943,0.858015,0.84347,0.404
2.14438,0.945,0.864289,0.840097,0.39718
2.14892,0.947,0.862794,0.8366,0.390217
2.15346,0.949,0.847108,0.832968,0.383102
2.158,0.951,0.847598,0.829193,0.375827
2.16253,0.953,0.819167,0.825262,0.368383
2.16707,0.955,0.821667,0.821164,0.360758
2.17161,0.957,0.837794,0.816884,0.352942
2.17615,0.959,0.864461,0.812406,0.344921
2.18069,0.961,0.86527,0.807712,0.336681
2.18523,0.963,0.800098,0.802781,0.328204
2.18976,0.965,0.846029,0.797588,0.319473
2.1943,0.967,0.815931,0.792104,0.310466
2.19884,0.969,0.833627,0.786296,0.301157
2.20338,0.971,0.828456,0.780123,0.291519
2.20792,0.973,0.77924,0.773538,0.281517
2.21246,0.975,0.803088,0.76648,0.271111
2.21699,0.977,0.81777,0.758878,0.260252
2.22153,0.979,0.81777,0.750638,0.248882
2.22607,0.981,0.790294,0.741642,0.236926
2.23061,0.983,0.732941,0.731734,0.224292
2.23515,0.985,0.673652,0.720702,0.210856
2.23969,0.987,0.745098,0.708245,0.196455
2.24422,0.989,0.759681,0.693923,0.180858
2.24876,0.991,0.759681,0.67704,0.163724
2.2533,0.993,0.776618,0.656399,0.144508
2.25784,0.995,0.540025,0.629648,0.122229
2.26238,0.997,0.697083,0.590967,9.48E-02
2.26692,0.999,0.675858,0.51537,5.48E-02
2.27145,1.001,0.691912,0,0
2.27599,1.003,0.104804,0,0
