Sweep,0.2m,0.2e,0.25m,0.25e,0.3m,0.3e,0.35m,0.35e,0.4m,0.4e,0.45m,0.45e,0.5m,0.5e,0.6m,0.6e,0.7m,0.7e
54,0.010975,-0.8726,0.000775,-1.1124,0.00185,-1.3893,-0.042975,-1.7783,-0.406275,-2.2928,-0.782375,-3.0559,-0.9114,-3.4952,-0.97655,-3.8339,-0.98975,-1.9625
55,0.0034,-0.8681,0.0129,-1.1258,0.005475,-1.4128,-0.04075,-1.7631,-0.4052,-2.3057,-0.781925,-3.049,-0.91305,-3.5028,-0.97485,-3.8253,-0.99045,-1.96485
56,-0.00025,-0.8509,0.0068,-1.1184,0.004,-1.4067,-0.0446,-1.7732,-0.400625,-2.2897,-0.7813,-3.0511,-0.912125,-3.4976,-0.975525,-3.8299,-0.99015,-1.96375
57,0.004925,-0.8602,0.007275,-1.1133,0.0007,-1.3916,-0.035625,-1.7769,-0.397,-2.2905,-0.782325,-3.0627,-0.91135,-3.4905,-0.974925,-3.8259,-0.991025,-1.96675
58,-0.00355,-0.8617,0.004075,-1.1277,-0.00725,-1.4118,-0.0342,-1.7781,-0.3967,-2.2954,-0.782825,-3.07,-0.910975,-3.4858,-0.974225,-3.8229,-0.99095,-1.9668
59,-0.001,-0.8612,0.00415,-1.1377,-0.003775,-1.4246,-0.032925,-1.7755,-0.39495,-2.2935,-0.77815,-3.0537,-0.911375,-3.4881,-0.972975,-3.8111,-0.9904,-1.96455
60,0.00365,-0.8552,-7.50E-05,-1.1207,0.000575,-1.4099,-0.030075,-1.776,-0.393075,-2.3108,-0.771825,-3.0357,-0.912425,-3.4855,-0.9726,-3.8104,-0.990975,-1.96625
61,-0.0037,-0.8732,0.002825,-1.116,-0.0057,-1.4025,-0.0281,-1.7762,-0.389075,-2.2968,-0.775125,-3.047,-0.912,-3.4856,-0.97335,-3.8138,-0.9901,-1.96325
62,-0.00145,-0.8468,0.0013,-1.0979,-0.005125,-1.4037,-0.0292,-1.7606,-0.387725,-2.2991,-0.7755,-3.0371,-0.911125,-3.4815,-0.97345,-3.8136,-0.989175,-1.9597
63,0.004475,-0.85,0.00405,-1.139,-0.01215,-1.4321,-0.024,-1.7715,-0.392725,-2.316,-0.7774,-3.0559,-0.91195,-3.4904,-0.973675,-3.8151,-0.9884,-1.95755
64,0.012375,-0.8763,0.0118,-1.1224,-0.026875,-1.4202,-0.027625,-1.7751,-0.383075,-2.315,-0.77685,-3.0379,-0.9141,-3.5051,-0.97465,-3.8234,-0.989675,-1.962
65,0.007525,-0.8729,0.0169,-1.1432,-0.022925,-1.4231,-0.034025,-1.7707,-0.3808,-2.3179,-0.77225,-3.0468,-0.9148,-3.5095,-0.973325,-3.8151,-0.99005,-1.9638
66,0.00415,-0.8615,0.011425,-1.1238,-0.0233,-1.4178,-0.03605,-1.7543,-0.37375,-2.3205,-0.772425,-3.0521,-0.913075,-3.4939,-0.97415,-3.8206,-0.990525,-1.9642
67,-0.006175,-0.8535,-0.00045,-1.1241,-0.014125,-1.4084,-0.028175,-1.7718,-0.36635,-2.2924,-0.774325,-3.0493,-0.912275,-3.4957,-0.975475,-3.829,-0.990975,-1.96665
68,-0.00375,-0.8683,0.004225,-1.119,-0.008325,-1.4154,-0.0189,-1.7706,-0.366325,-2.2919,-0.779025,-3.0569,-0.914325,-3.5032,-0.97415,-3.8235,-0.9903,-1.96395
69,-0.00695,-0.8758,7.50E-05,-1.1353,-0.0099,-1.4137,-0.0149,-1.7684,-0.3583,-2.2737,-0.781475,-3.0706,-0.911075,-3.4873,-0.973725,-3.8197,-0.989775,-1.9629
70,-0.0065,-0.8685,0.00215,-1.1217,-0.000625,-1.4094,-0.006625,-1.7786,-0.354475,-2.2696,-0.77775,-3.0467,-0.9108,-3.4881,-0.974025,-3.82,-0.989425,-1.96145
71,0.000575,-0.8601,-0.00295,-1.0996,0.002925,-1.4038,-0.00275,-1.7653,-0.35185,-2.269,-0.7771,-3.055,-0.91205,-3.4966,-0.973925,-3.8202,-0.9902,-1.9639
72,0.003775,-0.8426,-0.002725,-1.1255,0.009675,-1.3846,-0.0036,-1.7782,-0.350025,-2.2846,-0.7709,-3.0404,-0.910275,-3.486,-0.9747,-3.8258,-0.9899,-1.9633
73,-0.012025,-0.8598,-0.0013,-1.1132,0.002425,-1.3808,-0.007925,-1.7756,-0.350575,-2.2869,-0.76945,-3.0427,-0.909775,-3.4869,-0.973375,-3.8164,-0.990675,-1.9657
